rank_1based,id,name,network,symbol,private,created,proposalsCount,followersCount,cum_followers,cum_coverage,is_selected
28,olympusdao.eth,OlympusDAO,1,OHM,False,1617325333,311,27194,3174697,0.7324039028972742,True
29,metislayer2.eth,Metis,1088,METIS,False,1648778068,292,26047,3200744,0.7384129565042059,True
30,speraxdao.eth,Sperax DAO,42161,veSPA,False,1657633884,73,25748,3226492,0.7443530306882301,True
31,quickvote.eth,QuickSwap,137,QUICK,False,1615337703,72,25495,3251987,0.7502347376682555,True
32,dydxgov.eth,dYdX,1,DYDX,False,1630394499,63,24173,3276160,0.7558114587048571,True
33,hop.eth,Hop,1,HOP,False,1655517046,61,22178,3298338,0.76092793242139,True
34,sismo.eth,Sismo,137,Voting Point,False,1634219556,12,20424,3318762,0.7656397576169202,True
35,dao.spaceid.eth,SPACE ID DAO,1,ID,False,1681784684,19,19641,3338403,0.7701709443905888,True
36,joegovernance.eth,Lets F***ing Joe (prev. TJ),43114,JOE,False,1671474993,27,19604,3358007,0.774693595249048,True
37,hakka.eth,Hakka Finance,1,HAKKA,False,1618581914,17,18714,3376721,0.7790109227416622,True
38,safe.eth,SafeDAO,1,SAFE,False,1650363744,54,17650,3394371,0.7830827849969063,True
39,swpr.eth,Swapr,42161,SWPR,False,1632902553,10,15377,3409748,0.7866302652178065,True
40,thegurudao.eth, Guru Network DAO,8453,seasonpass,False,1648664243,16,14888,3424636,0.7900649329376975,True
