space,pc1,pc2,cluster
moonwell-governance.eth,-2.3636681924996386,-0.6076068450505814,2
morpho.eth,-2.112686601046676,-1.3083662175022668,2
mozaicfinance.eth,-2.4694309123262435,-1.0431356108442564,2
mstablegovernance.eth,-1.9579032339236653,1.6620178984774903,2
mutantsdao.eth,-1.4425109791323383,2.7610545751287696,2
muxvote.eth,-2.501599019650903,-1.6631336060173172,2
myceliumgrowth.eth,-2.2530448926263458,1.6063538553205516,2
nation3.eth,-2.316091655012077,1.2756105591259657,2
nftearthl2.eth,-2.3480941294244166,-1.9005150178263106,2
nftfinance.eth,-2.1685107409330024,-1.356800100587097,2
nibajie.eth,3.0764915684638194,-1.2250115037385843,2
noixaref.eth,0.1367942805129907,-0.5207217738228913,2
o3dao.eth,-2.5245297323943325,-0.5132770036646901,2
officialoceandao.eth,-1.7066613767297991,0.4618510316248383,2
olympusdao.eth,-1.8054926637955122,-0.31209396362172676,2
opcollective.eth,-0.4312793205480361,0.33861309915207727,2
opencampusdao.eth,-2.501949035526959,-1.6339287588420603,2
opiumprotocol.eth,-2.4016498731909666,-1.574463079649636,2
optimismio.eth,-2.1063375564187226,0.2018180366088581,2
orbapp.eth,3.057052220136385,3.3396216352357326,2
origingov.eth,-2.226342429182979,-1.0964243374045415,2
otterclam.eth,-1.9505723690530021,1.2002137001199287,2
pancakebunny.eth,-2.538428968134269,1.348297604838205,2
panda-dao.eth,-2.2093278070262574,-1.0387703002577093,2
pangolindex.eth,-2.4356851668724526,1.140953627476096,2
pantherprotocol.eth,-2.495530855566947,-1.7513632401393755,2
paraswap-dao.eth,-2.2581598175310855,1.0344000443042456,2
partydao.eth,-2.5618119559364767,-1.9561008962519641,2
people-dao.eth,-2.3274431817012577,-1.6728325538853261,2
phi-voting.eth,-2.1995462726173525,-0.8317424770071764,2
phonon.eth,-2.4915609523522955,-1.6973561459431166,2
pickle.eth,-2.248311523645409,-0.7849195119153783,2
piedao.eth,-2.1375667532672717,-0.40103420488189817,2
planckcatdao.eth,-2.3877605591915843,-0.7548819274863555,2
planetfinance.eth,-2.2342414479790116,0.1503913251793927,2
poh.eth,-2.1073821291372408,0.6159855244989603,2
poktdao.eth,-2.2985465897840225,-0.6045416054843185,2
polygondaoo.eth,5.266833911346019,-0.716246257685001,2
polyhedragovernance.eth,-2.2818542434859195,-1.3838181379492551,2
polymon.eth,-2.4477694574403426,1.837225452469034,2
pool.berkut.eth,1.4460341050002237,1.11975071283364,2
poolpool.pooltogether.eth,-2.2588419398797965,-1.5354329750613955,2
pooltogether.eth,-2.472167235578426,-0.8095244488077551,2
posttechdao.eth,63.14447442522854,2.530242142214029,0
pozoaxel.eth,-1.3635480652525367,0.4274533781904133,2
ppyaa.eth,0.5391135954863446,2.3528716568107875,2
promdao.eth,-1.6476157828768625,-0.020121576814426723,2
pstakefinance.eth,-2.48668618300431,-1.251258672402316,2
pushdao.eth,-2.1921357851965575,3.3207327684708696,2
pyme.eth,-2.2360119452655907,-1.1748479776109524,2
qhsky.eth,-1.3619744267900136,1.4113493541714615,2
qidao.eth,-1.9258427153214759,0.026708810626450807,2
qqgame.eth,-1.7113475996777838,-1.0416379669396623,2
quickvote.eth,-2.4120177856413743,-0.9317410920019109,2
radiantcapital.eth,-2.3895922414326756,0.8622740325226881,2
rallygov.eth,-0.01574012540962455,-1.902389267497438,2
rareships.eth,-2.4186180777057538,-0.0749939431782497,2
rarible.eth,-1.8761091272035915,1.694719391105191,2
rbn.eth,-2.503451346463952,0.012778587465879676,2
rdatadao.eth,-2.3485214569032404,-1.6645103361594842,2
revolutiondao-rld.eth,-1.0491850927570792,0.7554747357947929,2
