space,avg_voters_per_proposal,median_voters_per_proposal,voter_turnout_proxy,gini_voting_power,hhi_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,mean_participation_count,std_participation_count,mean_robust_participation_vp,std_robust_participation_vp,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy,log_n_unique_voters,log_total_votes,log_n_proposals,log_mean_sum_vp,log_mean_n_voters,log_n_voters_in_dao
alchemixstakers.eth,0.16539148649076982,0.3359840954274354,-0.34104876145952295,0.3880669169189817,0.08328540263456088,-0.025193720479546957,-0.04600043130797416,0.11971485226343909,-0.34104876145952295,-0.5161804600794981,0.11025746068863485,-0.613429483331571,0.72021531324967,0.0,0.0,0.0,0.0,0.03859536841514444,-0.08180737368553123,1.6097750483986326,0.15754127857089895,-0.028620309624464463,0.7844337352753448,0.6021939048451226,0.5743354433521252,0.44969867186144014,0.6176057862518595,0.5092204508945221,-0.10716909080328965,0.16482050767296932,0.44969867186144014
alexec.eth,-0.11153168029187956,-0.30417495029821073,-0.4722922564164339,-1.396466497423588,2.1987696469687927,1.120414852325779,-0.06830926598462209,-1.9000424346062033,-0.4722922564164339,1.4384417162733978,-1.0021995852263457,0.801375527094288,-0.7158199747419888,0.0,0.0,0.0,0.0,-1.0210012191430184,2.605227831956694,-0.33618760124422753,-2.7591048301660535,-0.008889771595458926,-0.5511738198562417,-0.6243072610260351,-0.7556887965644689,0.2556071217854661,-0.4338590245355488,-0.23421548079836804,-0.03057622711548494,-0.15950001589141133,0.2556071217854661
alpacafinance.eth,0.7816116126019049,0.8409542743538767,0.41190133521617495,0.45266383038575597,-0.09435636538511452,-0.016055031597783757,-0.1050023222783229,0.4169984977319109,0.41190133521617495,0.46263566835946374,0.6667968290552525,0.046943691719371815,0.6591401045084461,0.0,0.0,0.0,0.0,0.11029295655889876,0.21362274268683945,0.3338918049677236,-0.37308376406944893,0.7245873039182205,0.9424961869354412,0.7253023399062534,0.7979417303129067,0.3173884458327794,0.4733831262307216,-0.07608651401810522,0.42346529785938003,0.5075452755132005,0.3173884458327794
ampleforthorg.eth,-0.2899839781490563,-0.24055666003976142,-0.3104397854044875,-0.2522293722618706,0.7254004566042154,0.12571592033310108,-0.21773296044671073,-0.10623196369105005,-0.3104397854044875,-0.14913893554843166,-0.8644865123050526,0.29449840908328867,-0.25812244550639135,0.0,0.0,0.0,0.0,-0.627383356960707,0.48306932949032405,-0.2485923242892963,-0.07462662619254823,0.21771867168596662,0.584395992009352,1.1833014962482582,-0.1539002994437358,-0.6088429469624012,-0.8068105552190613,0.016223048289943195,-0.1833681463265578,-0.673974341181201,-0.6088429469624012
anglegovernance.eth,-0.06971739301817631,-0.1610337972166998,0.14678744690230047,0.33945102666096133,1.4636569850108987,0.7625464616941144,0.07000266423342327,0.682750663613706,0.14678744690230047,0.5691342687860025,0.5083713518463142,0.9875543872935695,3.1426901171560604,0.0,0.0,0.0,0.0,-2.43899319144187,-0.6031243948588267,-0.18492993461875815,0.6654398892394492,1.066501044218704,1.305455151108519,0.3887966387250404,-0.4804249930414032,-0.2646088826106826,0.37608613601407137,0.5682139346827055,0.5513062201398269,-0.09290249771728054,-0.2646088826106826
apecoin.eth,2.2069311747548,2.757455268389662,-0.43258343986039477,0.5531337660589246,-0.3087570614969999,0.2408775159784137,0.861381698010108,0.6461099261904939,-0.43258343986039477,-0.6283136948868778,0.35595188598855215,-0.23188533050592908,2.5423499716888167,0.0,0.0,0.0,0.0,-0.5054246434518295,0.8138474194172562,0.9932600856175222,-1.143012432443385,0.3433346706210723,0.6982779729122228,0.18192112804135058,1.7804558943463034,1.4158603679095323,1.9007571508451497,1.0444894686599953,0.4514118248398446,0.8687938294720661,1.4158603679095323
apeswap-finance.eth,-0.06199350062387758,0.11332007952286283,0.2556231060589288,0.30917551597470766,-0.15907385627742465,-0.5184043030229301,-0.2764775483867887,0.024468102238117927,0.2556231060589288,-0.11161234431291929,-0.44776868367254014,0.5980599769327489,-0.03249919497228217,0.0,0.0,0.0,0.0,-0.758988449506469,1.4088304902397182,2.2667903855066314,-0.646724579278021,1.6345888766917496,0.18211777807606547,0.27372826225328395,1.138944925791973,-0.31075464588175283,-0.3926187216610251,-0.28632677321241345,0.31480586696717666,-0.0816118206922861,-0.31075464588175283
apollodao.eth,-0.33176870032692024,-0.2962226640159046,-0.7055959878908935,-1.0389655000652909,1.4314859217934706,0.5746554307281742,2.600903821365541,0.42205882330960326,-0.7055959878908935,-0.8678552392622889,-0.8928252364048328,0.5710279326180859,0.16710512784710696,0.0,0.0,0.0,0.0,-0.45030670007071966,1.4652006835405715,-0.15579241836548827,-0.6816835106092393,13.730247162115107,-0.3929369697375584,-0.3222274154577675,0.7310429452367053,0.04268524918550652,0.03699780963945372,1.3776089746899312,1.2847161030075736,-0.9868376754528053,0.04268524918550652
apolloxdao.eth,-0.19848404790949062,-0.05765407554671968,0.5025123401215262,0.06531635810049086,-0.22388256287453412,-0.48073954829611093,-0.20473161294763412,-0.17074792039251047,0.5025123401215262,-0.2475531247490398,0.46633944423739054,-1.080875231246361,0.08476821850224737,0.0,0.0,0.0,0.0,-1.2489146442400387,2.7204621480705806,0.7575323960158394,-0.440818054072792,5.083733707967751,0.8370673521694734,1.0038118156819604,1.0875427018001045,-0.7389209699609705,-0.7456265379745138,-0.3437462503769452,0.4592874128638339,-0.3409321722601942,-0.7389209699609705
arbitrumfoundation.eth,26.558137718473965,30.25228628230614,-0.27762241388574155,0.6227193629671072,-0.5338794630622592,1.2128502977160427,1.2333425815513008,0.6057783424776685,-0.27762241388574155,-0.28828983281228526,1.4478626307388243,-2.9309419886976693,5.026597993837387,0.0,0.0,0.0,0.0,0.11298180326736376,-0.04569551837833936,0.8837894519409987,-0.2850776346981687,-0.01918494441857734,0.5119727155673767,-0.28383622747003645,1.0936738900508327,2.378081469353478,2.5232563592305834,1.1275066756207697,0.7017266323695187,1.922753996217069,2.378081469353478
assangedao.eth,0.7156825032960561,0.5467196819085487,0.9036374924708394,0.10882991999335306,-0.5595134175301063,-0.8212453566690023,-0.29545274555676193,0.6470983610419647,0.9036374924708394,1.642049550680103,1.0009629099609711,-0.7713442300555866,0.0018596697651547369,0.0,0.0,0.0,0.0,0.16769564768043566,-0.24085698171222128,0.007965220687269384,-0.2891276264468814,13.400350174315859,-0.16129719549707966,-0.17117573025546523,0.2828625668974449,0.10068174717299126,0.017235840806509917,-0.5335629971054054,1.0102011736301122,0.4811298202104007,0.10068174717299126
astardegens.eth,1.3591752186334374,1.4612326043737573,0.7888211692324291,-0.24360424305191422,-0.7131693262288465,-0.882709393074263,-0.24543251326597815,0.30961902950717024,0.7888211692324291,0.9046140009786079,0.3986860464517724,-0.3762667508399934,0.1338036340687847,0.0,0.0,0.0,0.0,-0.5911590104689118,0.1267720424598956,0.9144329281933,-1.1721805966174315,-0.03149801017366141,0.8996106611127572,1.0885554067240606,0.5387313456793534,0.3864513315763923,0.35074945270572466,-0.4307084938137812,-0.47795650422761216,0.6897872481523561,0.3864513315763923
aurafinance.eth,-0.3026133699820088,-0.2644135188866799,-0.6078959275084402,-0.06323224405557833,0.9837898160438066,0.39613153647553107,2.5811759528129343,0.6461625953391593,-0.6078959275084402,-0.5017125899073623,0.715653193709119,-0.5896237450019017,3.6421241909008075,0.0,0.0,0.0,0.0,-1.7792637267270228,-0.5584347454680494,0.04202714454418391,0.5919422008282447,1.2587181621620467,0.7036381985313328,0.011746116051921739,-0.22420092781642958,-0.1447645976313829,0.5478698573709523,1.6120360501595858,0.41764114608242564,-0.7478474341778192,-0.1447645976313829
